0.997534 0.998713 0.998759 0.862948 0.998759 0.998736 0.998771 
0.914264 0.9987 0.998759 0.993601 0.998759 0.998821 0.78145 
0.953518 0.998702 0.998759 0.998704 0.998764 0.998752 0.884434 
0.856242 0.998666 0.998759 0.999002 0.998759 0.998683 0.573178 
0.894826 0.998764 0.998759 0.99768 0.998759 0.998734 0.220685 
0.927506 0.998751 0.998759 0.974991 0.998759 0.998778 0.989838 
0.251575 0.998792 0.998759 0.996298 0.998765 0.998686 0.693126 
0 0.998718 0.998759 0.992548 0.998759 0.998769 0 
0.699917 0.998856 0.998759 0.996002 0.998759 0.998371 0.0983494 
0.867286 0.998712 0.998759 0.969555 0.998759 0.998692 0.866466 
0 0.998749 0.998759 0.986949 0.998759 0.998643 0.431378 
0 0.998717 0.998759 0.998489 0.998759 0.998816 0.926444 
0.609193 0.998661 0.998759 0.998797 0.998764 0.99878 0.880397 
0.426321 0.998648 0.998759 0.990905 0.998759 0.998776 0.991512 
0.998748 0.99875 0.998759 0.874541 0.998759 0.998742 0.996495 
