-0.17871,-0.24005,-0.43881
-0.091857,0.019559,-0.32581
-0.016112,0.2462,-0.22341
0.041525,0.41411,-0.14046
0.076923,0.5068,-0.082487
0.089305,0.51952,-0.050989
0.081119,0.45964,-0.043476
0.057368,0.3449,-0.054203
0.024578,0.20008,-0.075397
-0.010381,0.052656,-0.098765
-0.041395,-0.071722,-0.11696
-0.063965,-0.15308,-0.12477
-0.075707,-0.17988,-0.11987
-0.076487,-0.15018,-0.10293
-0.068209,-0.071325,-0.077329
-0.054335,0.04184,-0.048302
-0.039242,0.16977,-0.021887
-0.027496,0.29146,-0.0037739
-0.02313,0.38775,0.0017424
-0.028992,0.44395,-0.007451
-0.046219,0.45161,-0.030853
-0.073894,0.40924,-0.065314
-0.10894,0.32181,-0.10537
-0.14631,0.19957,-0.14391
-0.17943,0.056159,-0.17302
-0.20099,-0.093369,-0.18506
-0.20397,-0.23443,-0.17366
-0.18265,-0.35441,-0.13474
-0.13381,-0.44362,-0.067275
-0.057462,-0.49574,0.02621
0.042594,-0.5078,0.1396
0.15885,-0.47982,0.26357
0.28068,-0.41435,0.38648
0.3955,-0.31604,0.49565
0.4903,-0.19135,0.57887
0.55342,-0.048413,0.62604
0.57628,0.10301,0.63054
0.55471,0.25167,0.5903
0.48983,0.38521,0.50826
0.38809,0.49089,0.39219
0.26066,0.55674,0.25384
0.12203,0.57299,0.10751
-0.011888,0.53367,-0.031809
-0.12584,0.4381,-0.15037
-0.20733,0.29188,-0.23755
-0.24825,0.10709,-0.28724
-0.24595,-0.098473,-0.29859
-0.20355,-0.30303,-0.27604
-0.12937,-0.48346,-0.22841
-0.035878,-0.61843,-0.16755
0.062108,-0.69138,-0.10639
0.14931,-0.69303,-0.056948
0.21202,-0.6228,-0.028522
0.23983,-0.48893,-0.026367
0.22699,-0.30737,-0.051037
0.17308,-0.099416,-0.098521
0.083017,0.11119,-0.16109
-0.033595,0.30161,-0.22871
-0.16378,0.45288,-0.2908
-0.29286,0.55236,-0.33801
-0.40634,0.59505,-0.36373
-0.49175,0.58388,-0.3651
-0.54012,0.52877,-0.34343
-0.54703,0.44478,-0.30385
-0.51301,0.34956,-0.2544
-0.44325,0.26065,-0.20461
-0.34679,0.19289,-0.16387
-0.23526,0.15641,-0.13986
-0.12137,0.15545,-0.1372
-0.017387,0.18803,-0.15667
0.066219,0.24658,-0.19506
0.12183,0.31936,-0.24568
0.14537,0.39238,-0.29939
0.13655,0.45157,-0.34606
0.098759,0.48488,-0.37611
0.038529,0.48403,-0.38193
-0.035243,0.44567,-0.35905
-0.11235,0.37182,-0.30671
-0.18243,0.26947,-0.22806
-0.23616,0.14955,-0.12974
-0.26629,0.025249,-0.02107
-0.26851,-0.089897,0.087062
-0.24181,-0.18398,0.18353
-0.18857,-0.24837,0.2583
-0.11408,-0.27878,0.30372
-0.025643,-0.27565,0.31545
0.068485,-0.24379,0.29311
0.16033,-0.19131,0.24039
0.24327,-0.1281,0.1647
0.31272,-0.064087,0.076302
0.36653,-0.0075521,-0.012944
0.40474,0.036265,-0.091046
0.42915,0.065975,-0.14742
0.44245,0.08417,-0.17425
0.44751,0.096789,-0.16753
0.4467,0.11181,-0.12761
0.44153,0.13749,-0.059079
0.4326,0.18042,0.029818
0.41986,0.24383,0.12836
0.40303,0.32646,0.22482
0.38201,0.42219,0.30809
0.35728,0.52063,0.36922
0.32994,0.60862,0.40255
0.30161,0.67226,0.40648
0.27402,0.69927,0.38352
0.24849,0.68114,0.33982
0.22549,0.61466,0.28409
0.20429,0.50272,0.22629
0.18301,0.35406,0.1761
0.15887,0.18211,0.14157
0.12878,0.0032123,0.12798
0.089961,-0.16559,0.13718
0.040675,-0.30874,0.16745
-0.019362,-0.41404,0.21377
-0.088755,-0.47391,0.26855
-0.16455,-0.48596,0.32271
-0.24261,-0.45284,0.36681
-0.31823,-0.38145,0.39233
-0.38677,-0.28181,0.39265
-0.4443,-0.16563,0.36394
-0.48802,-0.044964,0.30553
-0.51659,0.068973,0.21999
-0.53005,0.16675,0.11281
-0.52971,0.24134,-0.0082208
-0.51769,0.2884,-0.13392
-0.49649,0.30629,-0.25464
-0.46851,0.29585,-0.36122
-0.4356,0.25994,-0.44583
-0.39887,0.20301,-0.50254
-0.35858,0.13044,-0.5277
-0.31428,0.048132,-0.52005
-0.26515,-0.038069,-0.48063
-0.21043,-0.12271,-0.41263
-0.14987,-0.20111,-0.32112
-0.08409,-0.26963,-0.21272
-0.014748,-0.32582,-0.095264
0.055506,-0.36846,0.022744
0.12331,-0.39743,0.13265
0.18504,-0.41342,0.22629
0.23729,-0.41753,0.29663
0.27734,-0.41087,0.33835
0.30358,-0.39422,0.34824
0.31564,-0.3678,0.32548
0.31452,-0.33123,0.27169
0.30236,-0.28365,0.19072
0.28219,-0.22397,0.088368
0.25745,-0.15121,-0.028167
0.23151,-0.064934,-0.15082
0.20714,0.034283,-0.27132
0.18611,0.1444,-0.38176
0.16889,0.26158,-0.4752
0.15464,0.37997,-0.54608
0.14136,0.4918,-0.59057
0.12634,0.58791,-0.60674
0.10671,0.65854,-0.59458
0.080098,0.69451,-0.55587
0.045215,0.68856,-0.49393
0.0023115,0.63651,-0.41325
-0.04662,0.53815,-0.31902
-0.097921,0.39766,-0.2167
-0.14664,0.22342,-0.11155
-0.18715,0.027197,-0.0082419
-0.21391,-0.177,0.089383
-0.2223,-0.37447,0.17839
-0.20931,-0.5513,0.25668
-0.17406,-0.6958,0.32287
-0.11801,-0.79955,0.37602
-0.044863,-0.85812,0.41548
0.039805,-0.87127,0.44078
0.12918,-0.84279,0.45163
0.216,-0.77987,0.44803
0.2933,-0.69229,0.43053
0.35522,-0.59126,0.4004
0.39754,-0.4883,0.35981
0.41797,-0.39407,0.31183
0.41616,-0.31737,0.26019
