0.905129 1 0.89156 1 0.945546 0.963291 1 
0.935398 1 0.877915 1 0.80465 1 0.980827 
1 1 0.947772 1 0.775908 1 1 
0.92315 1 0.955372 0.980772 1 0.981755 0.980363 
0.895194 1 0.882592 0.961154 0.763431 1 1 
0.861138 1 0.967784 0.980823 0.959985 1 1 
0.987519 1 0.894539 0.8131 0.981359 1 1 
0.94345 0.980422 1 1 0.920698 1 1 
0.97766 1 0.943375 0.849458 0.921066 0.960427 0.898979 
0.885647 0.980614 1 1 0.838302 0.982439 1 
0.866944 1 0.931286 0.980775 0.982416 0.944897 1 
1 1 0.890627 0.980924 1 0.982087 0.980021 
0.982617 1 0.97296 1 1 0.982436 0.95204 
1 1 1 0.982677 1 0.967604 0.980645 
1 1 1 1 1 1 1 
